Initial Velocity,Extension Lookup Table
72.0,"[[0.0, 243.27957238379759], [0.1, 242.34711829055448], [0.2, 241.81242172856918], [0.3, 240.10922208069644], [0.4, 240.2107103030648], [0.5, 239.02243568404117], [0.6, 237.2730742734613], [0.7, 233.45022161970024], [0.8, 232.90062611519983], [0.9, 231.9113250047879], [1.0, 230.6828475126016]]"
71.0,"[[0.0, 239.70993971803267], [0.1, 236.2375629620496], [0.2, 235.45112315893084], [0.3, 236.51530327389457], [0.4, 233.24148656402093], [0.5, 231.18383151574398], [0.6, 232.2863051932133], [0.7, 227.90181577192948], [0.8, 227.91320182722984], [0.9, 227.9168453078019], [1.0, 226.58457274780682]]"
70.0,"[[0.0, 233.43670429035797], [0.1, 231.4257809317087], [0.2, 228.77575694690228], [0.3, 227.51853931453098], [0.4, 225.96268058526357], [0.5, 225.53158012760167], [0.6, 224.5204434933499], [0.7, 224.04631823607667], [0.8, 223.76400184362927], [0.9, 221.70772505157657], [1.0, 219.40311411569024]]"
69.0,"[[0.0, 227.94648761254552], [0.1, 224.18150137565578], [0.2, 225.00198009210146], [0.3, 223.28187163680946], [0.4, 221.73152335016664], [0.5, 219.99621076496481], [0.6, 217.68395956460108], [0.7, 216.98256521298595], [0.8, 216.00607441029973], [0.9, 215.76354603972032], [1.0, 213.59911503918698]]"
68.0,"[[0.0, 218.9298178801959], [0.1, 216.5620229531026], [0.2, 216.93155248208433], [0.3, 216.83480779918023], [0.4, 215.83572057066436], [0.5, 213.64437755254932], [0.6, 214.59455058480535], [0.7, 211.9332168574822], [0.8, 210.42091171958583], [0.9, 208.3518484190006], [1.0, 208.7176453034333]]"
67.0,"[[0.0, 214.07505485480408], [0.1, 212.03008254684687], [0.2, 210.88122464291843], [0.3, 211.1177743483886], [0.4, 211.299335053221], [0.5, 207.97301786509996], [0.6, 207.03164073905936], [0.7, 207.0624320318792], [0.8, 205.1643297599195], [0.9, 203.1062501499025], [1.0, 204.33935862142448]]"
66.0,"[[0.0, 207.3406021897688], [0.1, 205.8820532562517], [0.2, 205.7859777355253], [0.3, 205.45602728827924], [0.4, 204.59197154272596], [0.5, 203.36384496918714], [0.6, 200.39789831927533], [0.7, 201.01611261965672], [0.8, 201.47989629942174], [0.9, 200.51300366046672], [1.0, 198.88829395152976]]"
65.0,"[[0.0, 199.82992885016375], [0.1, 202.7152397181527], [0.2, 199.185981854732], [0.3, 198.5280079833551], [0.4, 197.98743848951744], [0.5, 197.39322988072672], [0.6, 194.99857092786795], [0.7, 196.06626527069767], [0.8, 195.0145216180661], [0.9, 193.6914666998178], [1.0, 192.43459324495757]]"
64.0,"[[0.0, 197.7228844423184], [0.1, 196.97671137791372], [0.2, 194.24477855730328], [0.3, 193.1243330494226], [0.4, 193.14710286072943], [0.5, 191.20145555582263], [0.6, 191.5211774951248], [0.7, 189.25662098926722], [0.8, 190.76132840882576], [0.9, 188.3193273775526], [1.0, 187.08107840809066]]"
63.0,"[[0.0, 189.64449246131198], [0.1, 188.24741358284086], [0.2, 191.4577046079787], [0.3, 187.20659260362817], [0.4, 185.8257665574286], [0.5, 186.7305746823294], [0.6, 184.0034544678149], [0.7, 187.70973946286102], [0.8, 184.47831612432554], [0.9, 182.02852329408194], [1.0, 181.4721072428016]]"
62.0,"[[0.0, 186.86320747489071], [0.1, 182.74944783722475], [0.2, 183.63376664096728], [0.3, 184.08396460106616], [0.4, 180.81256123175012], [0.5, 179.62271392198056], [0.6, 181.0127427601637], [0.7, 177.29961398517253], [0.8, 177.33049450350154], [0.9, 178.442869473528], [1.0, 177.63562934054607]]"
61.0,"[[0.0, 177.47094009720706], [0.1, 180.16277977513323], [0.2, 176.03973415919342], [0.3, 176.19043797684566], [0.4, 175.10070539144436], [0.5, 176.80841932451295], [0.6, 176.1186499892794], [0.7, 173.76028897663508], [0.8, 173.78387640396204], [0.9, 171.61204674313728], [1.0, 171.08110895512368]]"
60.0,"[[0.0, 173.43553426999455], [0.1, 171.88080022934764], [0.2, 172.09524209741068], [0.3, 170.99855095798983], [0.4, 170.02154338950737], [0.5, 170.58749890524274], [0.6, 167.37962462153837], [0.7, 168.82130878539624], [0.8, 168.87741975752925], [0.9, 168.92627440344097], [1.0, 167.68476685435428]]"
59.0,"[[0.0, 167.56420792283996], [0.1, 168.94990138336289], [0.2, 166.2177023436575], [0.3, 167.23739129940435], [0.4, 165.03442487046505], [0.5, 163.34653167522134], [0.6, 165.66670244391912], [0.7, 162.93762041778876], [0.8, 162.78710617945995], [0.9, 162.34341424931034], [1.0, 161.85593765653329]]"
