velocity,airbrakes_0.0,airbrakes_0.1,airbrakes_0.2,airbrakes_0.3,airbrakes_0.4,airbrakes_0.5,airbrakes_0.6,airbrakes_0.7,airbrakes_0.8,airbrakes_0.9,airbrakes_1.0
90,368.22134279004024,364.09968927042905,358.2704700291412,355.50804906347514,350.549655393828,347.7291155846642,343.31343481819226,339.1906832971573,336.0649463831221,331.9773631889094,328.0053171850533
91,374.0316196412449,370.8908966035259,365.046898255635,362.30080027586484,357.3422691508416,352.2554861287864,347.8356709770089,345.9797533482828,342.8605255891414,338.76807349450337,334.79994433739455
92,382.1819965229246,377.7613081552447,371.9042561040966,369.176574436909,364.2027319536876,359.11458895822693,354.6899593609205,350.5541640635379,347.4403780820355,343.3457031658147,341.67170450195624
93,391.1625892482311,384.69533219950273,378.82671324293665,376.1192025812286,371.1486212739952,366.04360500950713,361.6157074942861,357.4888571303585,354.3849116673238,350.28846813226323,346.3046767284842
94,396.8328319243185,391.709258293442,385.8310686318521,383.1459761938035,378.16339807910447,373.060585239426,368.63158047399975,364.49707464494105,361.4046540953818,357.3080288341582,350.97680843206535
95,403.91629131637046,398.7874473581246,395.28026270828684,390.2405044680223,382.8861361698043,380.1483845547501,375.7200853462294,369.2185522396428,366.1349578165781,362.03928759317137,358.06399240409206
96,413.4658210962661,405.946459195264,402.4501685235357,395.01554935644435,390.0399899583625,384.92106267925595,380.49441971068086,376.3753730745779,370.90339024215257,366.80950621177846,365.23088718196993
97,420.70700446928015,413.17049439281766,409.7035503733745,402.24646000873474,397.26388482795215,392.15182800805496,387.7294055695726,383.6073563400026,378.1328768411429,374.0434157857029,370.06247797013214
98,427.91257307173436,420.4761684005106,417.02400147040896,409.5460024443323,404.57581737950056,399.4548016206548,395.0383189290149,388.4791683025299,385.4398280139923,381.35665145571744,374.9347198083767
99,437.0221586734754,430.3263851745683,421.94918480233173,416.9318762883443,411.9586356966129,406.8487882614098,399.9605472557964,395.86333315604736,390.3632300023462,386.2855483420641,379.8479102982096
100,443.8775785768977,437.7963999935399,429.40466634446204,424.38736324593685,419.43075747515695,414.3162164674445,407.41900959519353,403.3245124337766,397.82728918714287,391.2548670373101,387.30020683807857
101,451.10765212664177,445.3493363685281,436.92824163202704,431.9306179392996,426.9749404161478,419.3437950123156,414.95323635396596,408.35032954704013,405.37089337439653,398.79028276624916,394.83558559547566
102,458.94953356794167,452.96907821143975,444.53760628198245,439.54461524221927,432.0527889252693,426.9596235885025,420.02695980220983,415.96721162418635,410.45335231711874,406.4076733087984,399.91498189262927
103,466.217886576982,458.0937109066042,452.21616149705994,444.66798531295217,439.7426542937003,434.6503181877325,427.71445126242776,423.6628036196346,415.57612343685383,411.54096390963764,405.0365937920984
104,474.2719412444337,465.8482662697957,459.9817051243223,452.42442102824293,447.50592423651256,439.82763118881013,435.4792543851363,428.8460688530182,423.3415196930707,418.48702535193473,410.2007329067777
